검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
51,72.9%,관찰,SOXL,raor4_step24w,40,11.0,12.5,3058074561,2958.07,23.61,-49.27,85.12,645,118,2.5,2.8,4.54,91.3,낮음,4.35,103.31
58,82.9%,관찰,SOXL,raor4_step24w,40,11.5,12.5,3058074561,2958.07,23.61,-49.27,85.12,645,118,2.5,2.8,4.54,91.3,낮음,4.35,103.31
49,70.0%,관찰,SOXL,raor4_step24w,40,10.5,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
56,80.0%,관찰,SOXL,raor4_step24w,40,11.0,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
63,90.0%,관찰,SOXL,raor4_step24w,40,11.5,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
70,100.0%,관찰,SOXL,raor4_step24w,40,12.0,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
14,20.0%,관찰,SOXL,raor4_step24w,20,10.5,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
21,30.0%,관찰,SOXL,raor4_step24w,20,11.0,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
28,40.0%,관찰,SOXL,raor4_step24w,20,11.5,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
35,50.0%,관찰,SOXL,raor4_step24w,20,12.0,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
7,10.0%,관찰,SOXL,raor4_step24w,20,10.0,25.0,11003643768,10903.64,33.82,-55.38,83.53,1160,58,3.12,3.6,4.49,68.8,보통,15.59,102.59
13,18.6%,관찰,SOXL,raor4_step24w,20,10.5,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
20,28.6%,관찰,SOXL,raor4_step24w,20,11.0,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
27,38.6%,관찰,SOXL,raor4_step24w,20,11.5,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
34,48.6%,관찰,SOXL,raor4_step24w,20,12.0,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
6,8.6%,관찰,SOXL,raor4_step24w,20,10.0,22.5,10585079087,10485.08,33.5,-55.38,83.01,1136,66,3.12,3.4,4.12,68.8,보통,15.59,101.31
4,5.7%,관찰,SOXL,raor4_step24w,20,10.0,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
11,15.7%,관찰,SOXL,raor4_step24w,20,10.5,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
18,25.7%,관찰,SOXL,raor4_step24w,20,11.0,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
25,35.7%,관찰,SOXL,raor4_step24w,20,11.5,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
32,45.7%,관찰,SOXL,raor4_step24w,20,12.0,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
