검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
64,91.4%,관찰,SOXL,raor4_step24w,40,12.0,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
65,92.9%,관찰,SOXL,raor4_step24w,40,12.0,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
37,52.9%,관찰,SOXL,raor4_step24w,40,10.0,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
44,62.9%,관찰,SOXL,raor4_step24w,40,10.5,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
51,72.9%,관찰,SOXL,raor4_step24w,40,11.0,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
58,82.9%,관찰,SOXL,raor4_step24w,40,11.5,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
13,18.6%,관찰,SOXL,raor4_step24w,20,10.5,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
20,28.6%,관찰,SOXL,raor4_step24w,20,11.0,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
27,38.6%,관찰,SOXL,raor4_step24w,20,11.5,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
34,48.6%,관찰,SOXL,raor4_step24w,20,12.0,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
6,8.6%,관찰,SOXL,raor4_step24w,20,10.0,22.5,14706560137,14606.56,36.25,-55.22,83.36,1136,66,3.12,3.4,4.35,68.5,보통,15.74,107.9
42,60.0%,관찰,SOXL,raor4_step24w,40,10.0,25.0,6326035431,6226.04,29.31,-52.54,89.16,812,56,3.12,3.6,6.14,81.4,낮음,9.29,107.62
49,70.0%,관찰,SOXL,raor4_step24w,40,10.5,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
56,80.0%,관찰,SOXL,raor4_step24w,40,11.0,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
63,90.0%,관찰,SOXL,raor4_step24w,40,11.5,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
70,100.0%,관찰,SOXL,raor4_step24w,40,12.0,25.0,5313343403,5213.34,27.92,-62.88,88.56,804,56,3.12,3.7,5.27,60.7,보통,19.63,86.39
4,5.7%,관찰,SOXL,raor4_step24w,20,10.0,17.5,12107367782,12007.37,34.62,-69.08,80.26,1018,97,2.5,2.9,4.47,42.7,높음,28.67,80.13
