Date,Open,High,Low,Close,Volume,WeeklyRSI,RSI,MA5,MA20,MA200
2008-11-19,16.91421529919018,16.995254633422338,11.577149045483514,12.138640403747559,2392848,50.0,50.0,,,
2008-11-20,11.594512906079721,12.138638731317148,7.994019982226062,8.480259895324707,8704656,50.0,50.0,,,
2008-11-21,10.216831163504665,10.940403437725198,6.78420819934559,9.261716842651367,11770416,50.0,50.0,,,
2008-11-24,10.784111559904144,13.863632589949217,10.025808404294951,12.150215148925781,8626320,50.0,50.0,,,
2008-11-25,14.182009017875012,15.409186203869412,12.549631142688293,14.35566520690918,9135936,50.0,50.0,11.277299499511718,,
2008-11-26,13.336872608089095,16.786862577029723,13.024289656337007,16.6363582611084,5217984,50.0,50.0,12.176843070983887,,
2008-11-28,16.798439838445397,18.31504457702523,16.352718826595122,17.782495498657227,1990368,50.0,50.0,14.03729019165039,,
2008-12-01,15.935941785984026,16.040136103211584,9.886882636953045,10.130002975463867,7285680,50.0,50.0,14.210947418212891,,
2008-12-02,10.598879482586199,11.66397786317413,9.394855848396137,11.461377143859863,12267792,50.0,50.0,14.073179817199707,,
2008-12-03,10.454163313301262,13.388969618365133,10.3094493386963,13.1690034866333,12839904,50.0,50.0,13.835847473144531,,
2008-12-04,12.636457493626274,14.986619576786639,12.07496535785016,12.659611701965332,11968992,50.0,50.0,13.040498161315918,,
2008-12-05,12.150215200053392,15.773861227153466,12.098118042539946,15.496010780334473,14646096,50.0,50.0,12.583201217651368,,
2008-12-08,17.568323157518623,18.91706077769614,16.960521802889875,18.239797592163086,14047200,50.0,50.0,14.205160140991211,,
2008-12-09,17.45834201095574,18.81286853258265,15.779654942812392,15.935946464538574,13600656,50.0,50.0,15.100074005126952,,
2008-12-10,16.77528526279238,16.867902081399187,14.70297639453927,16.034347534179688,12672000,50.0,50.0,15.67314281463623,,
2008-12-11,15.142911916079946,15.542321435795342,12.156006156249688,12.595937728881836,13038480,50.0,50.0,15.660408020019531,,
2008-12-12,10.82463124035922,13.325294795687336,10.598877156594167,13.11690616607666,17100288,50.0,50.0,15.184587097167968,,
2008-12-15,13.238468617684239,13.238468617684239,11.160371445108654,11.739228248596191,10703232,50.0,50.0,13.88447322845459,,
2008-12-16,12.399127029841523,15.212374339133298,12.341241901023238,15.102391242980957,15984288,50.0,50.0,13.717762184143066,,
2008-12-17,14.44536200615528,16.208264164242507,14.120616452626368,14.903484344482422,16822368,50.0,50.0,13.491589546203613,13.569469833374024,
