Date,Close,WeeklyRSI,WeeklyMode,PrevSplit,Action,BuySplitsToday,CurrentSplit,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
1999-06-11,43.680660247802734,54.66897151873074,상승,0,1분할 매수,1,1,14285714.285714285,0.0,327048.95495330566,85714285.71428572,14285714.285714285,100000000.0
1999-06-14,42.85687255859375,54.66897151873074,상승,1,1분할 매수,1,2,14285714.285714285,0.0,660384.3906219469,71428571.42857143,28302009.66856937,99730581.0971408
1999-06-15,43.49610900878906,54.66897151873074,상승,2,1분할 매수,1,3,14285714.285714285,0.0,988820.9936024027,57142857.14285715,43009865.72790922,100152722.87076637
1999-06-16,45.73024368286133,54.66897151873074,상승,3,1분할 매수,1,4,14285714.285714285,0.0,1301211.9439936916,42857142.857142866,59504739.28188122,102361882.13902408
1999-06-17,46.237701416015625,54.66897151873074,상승,4,1분할 매수,1,5,14285714.285714285,0.0,1610174.4107301123,28571428.571428582,74450763.63104784,103022192.20247643
1999-06-18,46.44857025146485,61.5273637909482,상승,5,1분할 매수,1,6,14285714.285714285,0.0,1917734.238909404,14285714.285714297,89076013.51962294,103361727.80533724
1999-06-21,47.83914566040039,61.5273637909482,상승,6,1분할 매수,1,7,14285714.285714285,0.0,2216354.0007907185,1.1175870895385742e-08,106028481.87883835,106028481.87883836
1999-06-22,46.39584732055664,61.5273637909482,상승,7,관망,0,7,0.0,0.0,2216354.0007907185,1.1175870895385742e-08,102829621.82899104,102829621.82899106
1999-06-23,47.127384185791016,61.5273637909482,상승,7,관망,0,7,0.0,0.0,2216354.0007907185,1.1175870895385742e-08,104450966.48697916,104450966.48697917
1999-06-24,46.19156265258789,61.5273637909482,상승,7,관망,0,7,0.0,0.0,2216354.0007907185,1.1175870895385742e-08,102376854.6878383,102376854.68783832
1999-06-25,46.13224411010742,58.29595384374785,상승,7,관망,0,7,0.0,0.0,2216354.0007907185,1.1175870895385742e-08,102245383.79889064,102245383.79889065
1999-06-28,47.22624588012695,58.29595384374785,상승,7,관망,0,7,0.0,0.0,2216354.0007907185,1.1175870895385742e-08,104670078.99874556,104670078.99874558
1999-06-29,47.8720932006836,58.29595384374785,상승,7,관망,0,7,0.0,0.0,2216354.0007907185,1.1175870895385742e-08,106101505.29156125,106101505.29156126
