Date,Open,High,Low,Close,Volume,WeeklyRSI,RSI,MA5,MA20,MA200
2022-08-09,21.638185377318848,21.638185377318848,20.300271851951116,20.69478416442871,144000,50.0,50.0,,,
2022-08-10,22.187079635274756,22.21280770963227,20.71194230174072,21.826871871948242,472800,50.0,50.0,,,
2022-08-11,22.084157809137878,22.264260835206564,20.89204262950287,21.029264450073242,576000,50.0,50.0,,,
2022-08-12,21.27797996117293,22.444367158156467,20.806280122529255,22.41006088256836,490200,50.0,50.0,,,
2022-08-15,22.68450021103221,23.910919795969896,22.59873618044164,23.45637321472168,1058100,50.0,50.0,21.883470916748045,,
2022-08-16,23.756558375762488,24.082459891894235,22.77027398481365,23.173364639282227,1628500,50.0,50.0,22.37918701171875,,
2022-08-17,22.753114396981402,23.489824074670246,22.401483292968337,22.881759643554688,1190400,50.0,50.0,22.590164566040038,,
2022-08-18,23.104749250855985,23.138196725947154,22.636478056326283,22.727388381958008,507700,50.0,50.0,22.929789352416993,,
2022-08-19,22.28141237530015,22.392906118908417,21.56957361866365,22.041275024414062,899200,50.0,50.0,22.856032180786134,,
2022-08-22,21.449510056905797,21.52669754832484,20.866316404323452,21.269405364990234,586100,50.0,50.0,22.418638610839842,,
2022-08-23,21.432349870667867,22.247105729619552,21.05498910733955,21.998390197753906,674000,50.0,50.0,22.18364372253418,,
2022-08-24,22.118462497431167,22.778841848180917,21.989815618527317,22.041275024414062,751400,50.0,50.0,22.015546798706055,,
2022-08-25,22.624469341914875,22.684505321923545,21.44093068771103,21.9383602142334,688800,50.0,50.0,21.857741165161134,,
2022-08-26,22.0841634457814,22.56443994036089,20.960658889674296,21.046422958374023,984000,50.0,50.0,21.658770751953124,,
2022-08-29,20.43749366810098,20.977804364714444,20.22308437589018,20.69478416442871,803300,50.0,50.0,21.54384651184082,,
2022-08-30,21.0121094463292,21.046415716329772,19.35686954250054,19.91433334350586,828400,50.0,50.0,21.12703514099121,,
2022-08-31,20.214511197798497,20.231664336647015,19.28826296555216,19.657047271728516,725900,50.0,50.0,20.6501895904541,,
2022-09-01,19.322563576095604,19.854297637939453,18.670759213341146,19.854297637939453,846100,50.0,50.0,20.233377075195314,,
2022-09-02,20.24881878354386,20.35173435165647,18.946066757739185,19.099584579467773,671800,50.0,50.0,19.844009399414062,,
2022-09-06,19.28825952024882,19.66562032844457,18.610727014887992,19.528398513793945,561300,50.0,50.0,19.61073226928711,21.364172077178956,
2022-09-07,19.374021707666635,20.514678955078125,19.305410806913045,20.514678955078125,609800,50.0,50.0,19.730801391601563,21.355166816711424,
2022-09-08,20.22308491670758,21.115028381347656,20.085863096888048,21.115028381347656,641600,50.0,50.0,20.022397613525392,21.319574642181397,
2022-09-09,21.355167940264536,22.247111496463923,21.312286730599034,22.238534927368164,1118800,50.0,50.0,20.49924507141113,21.38003816604614,
