Ticker,Strategy,split_count,sell_rsi,extreme_split,recession_split,neutral_split,boom_split,FinalAsset,Return,CAGR,MDD,WinRate,Trades,AvgHoldDays,ProfitFactor,IS_CAGR,OOS_CAGR,MDD_Worse,StabilityScore,OverfitRisk,Score
SOXL,rsi,10,80,6,3,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,6,3,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,6,4,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,6,4,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,12,80,2,1,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,2,2,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,3,1,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,3,2,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,3,3,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,4,1,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,4,2,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,4,3,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,4,4,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,5,1,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,5,2,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,5,3,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,5,4,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,6,1,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,6,2,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,6,3,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,6,4,1,1,38272418816.0,38172.42,44.58,-90.46,87.5,16,343.3,5.69,31.42,61.65,23.13,53.7,보통,101.56
SOXL,rsi,12,80,2,1,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,2,2,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,3,1,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,3,2,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,3,3,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,4,1,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,4,2,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,4,3,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,4,4,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,5,1,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,5,2,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,5,3,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,5,4,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,6,1,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
SOXL,rsi,12,80,6,2,2,1,38168562082.0,38068.56,44.56,-90.46,87.5,16,343.3,5.69,31.42,61.59,23.13,53.7,보통,101.51
