Date,Close,RSI,WeeklyRSI
2022-12-16,3.4309606552124023,,
2022-12-23,2.9926066398620605,,
2022-12-30,2.8061294555664062,,
2023-01-06,2.874823570251465,,
2023-01-13,3.4785525798797607,,
2023-01-20,3.7525806427001953,,
2023-01-27,4.571970462799072,,
2023-02-03,4.797358989715576,,
2023-02-10,4.816066265106201,,
2023-02-17,4.866950988769531,,
2023-02-24,5.479061603546143,,
2023-03-03,5.663143634796143,,
2023-03-10,5.3204216957092285,,
2023-03-17,6.312669277191162,,
2023-03-24,6.703282356262207,81.41974996630273,81.41974996630273
2023-03-31,7.046004295349121,89.64749114593153,89.64749114593153
2023-04-07,6.745187282562256,87.68614163447613,87.68614163447613
2023-04-14,6.632941722869873,85.65788658112346,85.65788658112346
2023-04-21,6.7496771812438965,84.19751355815241,84.19751355815241
2023-04-28,6.977160453796387,84.04221366304942,84.04221366304942
2023-05-05,7.292943477630615,82.14348481864708,82.14348481864708
2023-05-12,7.149270057678223,78.33063275172704,78.33063275172704
2023-05-19,8.259748458862305,82.84327881377322,82.84327881377322
2023-05-26,11.284381866455078,89.05282408469236,89.05282408469236
2023-06-02,11.446015357971191,88.41780797483318,88.41780797483318
2023-06-09,11.15417766571045,84.86979527668925,84.86979527668925
2023-06-16,12.878264427185059,90.83117674417095,90.83117674417095
2023-06-23,12.610371589660645,86.91227000678981,86.91227000678981
2023-06-30,12.610371589660645,86.28423259654579,86.28423259654579
2023-07-07,12.676222801208496,85.8012844458632,85.8012844458632
2023-07-14,13.988741874694824,90.80943139817354,90.80943139817354
2023-07-21,13.426020622253418,86.4227293113288,86.4227293113288
2023-07-28,14.512553215026855,87.7017032302947,87.7017032302947
2023-08-04,13.545748710632324,79.76401018559596,79.76401018559596
2023-08-11,11.782751083374023,67.98561564716121,67.98561564716121
2023-08-18,12.831869125366211,71.2241491461488,71.2241491461488
2023-08-25,13.967790603637695,71.27873579768257,71.27873579768257
2023-09-01,15.102213859558105,66.56708642714493,66.56708642714493
2023-09-08,13.701395034790039,58.836638448703795,58.836638448703795
