Date,Close,RSI,WeeklyRSI
1999-03-12,42.230770111083984,,
1999-03-19,43.20615005493164,,
1999-03-26,43.6542854309082,,
1999-04-02,45.18324279785156,,
1999-04-09,47.081268310546875,,
1999-04-16,43.83881759643555,,
1999-04-23,46.65947723388672,,
1999-04-30,45.31504821777344,,
1999-05-07,44.68238067626953,,
1999-05-14,45.051429748535156,,
1999-05-21,44.60328674316406,,
1999-05-28,43.89154052734375,,
1999-06-04,44.33966827392578,,
1999-06-11,43.680641174316406,,
1999-06-18,46.44858932495117,61.52740552368315,61.52740552368315
1999-06-25,46.13224792480469,58.29594676293695,58.29594676293695
1999-07-02,49.5592155456543,64.3222455753891,64.3222455753891
1999-07-09,50.48186492919922,63.24110521220247,63.24110521220247
1999-07-16,51.77354431152344,62.09231928350434,62.09231928350434
1999-07-23,48.32023239135742,61.424750319176006,61.424750319176006
1999-07-30,47.740291595458984,53.11078919440234,53.11078919440234
1999-08-06,46.67264938354492,53.97069898681555,53.97069898681555
1999-08-13,48.63655471801758,60.7295972520651,60.7295972520651
1999-08-20,48.900177001953125,60.50361938171308,60.50361938171308
1999-08-27,50.50822448730469,65.15566646615034,65.15566646615034
1999-09-03,52.85436248779297,71.22347596193279,71.22347596193279
1999-09-10,53.24980545043945,71.15149622807483,71.15149622807483
1999-09-17,53.4079475402832,73.65385396724801,73.65385396724801
1999-09-24,50.67959213256836,60.30836273980588,60.30836273980588
1999-10-01,50.79160690307617,61.46616587232372,61.46616587232372
1999-10-08,53.78361129760742,60.623190057446195,60.623190057446195
1999-10-15,50.50822448730469,50.059273232962845,50.059273232962845
1999-10-22,52.2744255065918,51.102769189215245,51.102769189215245
1999-10-29,55.46413803100586,65.91314411571267,65.91314411571267
1999-11-05,57.520328521728516,70.44082331667522,70.44082331667522
1999-11-12,60.89457702636719,77.11064891592832,77.11064891592832
1999-11-19,63.92612075805664,78.00589399473822,78.00589399473822
1999-11-26,65.5341796875,79.03830135449351,79.03830135449351
1999-12-03,66.74677276611328,78.74483019039161,78.74483019039161
1999-12-10,67.40579986572266,77.39463122760965,77.39463122760965
1999-12-17,70.67461395263672,79.60151378413761,79.60151378413761
1999-12-24,76.10504913330078,82.70043557646363,82.70043557646363
1999-12-31,77.08039855957031,90.0600007478532,90.0600007478532
2000-01-07,75.92051696777344,86.9548807096709,86.9548807096709
2000-01-14,78.76752471923828,86.89900922179025,86.89900922179025
2000-01-21,81.19273376464844,96.48566229366315,96.48566229366315
2000-01-28,72.5462875366211,75.4131969175611,75.4131969175611
2000-02-04,81.95722198486328,78.73078730266053,78.73078730266053
2000-02-11,84.25066375732422,78.83967427518226,78.83967427518226
2000-02-18,83.03803253173828,75.05971827376587,75.05971827376587
2000-02-25,87.7830810546875,75.99087429236326,75.99087429236326
2000-03-03,93.68799591064453,78.04626758564835,78.04626758564835
2000-03-10,96.58780670166016,78.76025128686132,78.76025128686132
2000-03-17,93.47712707519531,73.99322391483146,73.99322391483146
2000-03-24,99.1711196899414,75.10449525170672,75.10449525170672
2000-03-31,92.36995697021484,63.99095495617527,63.99095495617527
2000-04-07,89.94468688964844,60.79645763844441,60.79645763844441
