Ticker,Strategy,split_count,sell_rsi,extreme_split,recession_split,neutral_split,boom_split,FinalAsset,Return,CAGR,MDD,WinRate,Trades,AvgHoldDays,MaxHoldDays_Actual,ProfitFactor,IS_CAGR,OOS_CAGR,MDD_Worse,StabilityScore,OverfitRisk,Score
QQQ,rsi,12,80,2,1,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,2,2,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,3,1,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,3,2,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,3,3,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,4,1,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,4,2,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,4,3,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,4,4,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,5,1,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,5,2,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,5,3,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,5,4,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
QQQ,rsi,12,80,6,1,2,1,948832515.0,848.83,8.65,-82.49,90.0,40,219.4,756,6.1,13.41,18.56,12.32,75.4,낮음,40.81
