Date,Open,High,Low,Close,Volume,WeeklyRSI,RSI,MA5,MA20,MA200
2010-03-11,0.5844892501607489,0.600864052772522,0.5844892501607489,0.600864052772522,3702000,50.0,50.0,,,
2010-03-12,0.601318978747228,0.605260719776326,0.5860058069229126,0.5860058069229126,4548000,50.0,50.0,,,
2010-03-15,0.5741794381715686,0.5803955074884969,0.5587143366084959,0.5675076246261597,534000,50.0,50.0,,,
2010-03-16,0.5746342264057834,0.6142066462107488,0.5737244732244885,0.6135998368263245,1260000,50.0,50.0,,,
2010-03-17,0.6367975609351803,0.6431655631137971,0.6242135436191556,0.6357359290122986,2610000,50.0,50.0,0.6007426500320434,,
2010-03-18,0.635735833801704,0.6375552859615297,0.6114775019073517,0.6202707886695862,1584000,50.0,50.0,0.6046239972114563,,
2010-03-19,0.6125381543289127,0.6128420198912928,0.5819118240871707,0.592069685459137,1596000,50.0,50.0,0.6058367729187012,,
2010-03-22,0.580395577941401,0.6371005776616974,0.5770596707637583,0.6348263025283813,3804000,50.0,50.0,0.6193005084991455,,
2010-03-23,0.6437723918749004,0.6781895169703027,0.6434685804267647,0.6757633090019226,6114000,50.0,50.0,0.6317332029342652,,
2010-03-24,0.669244279871349,0.669244279871349,0.6349782208208191,0.6383141279220581,2034000,50.0,50.0,0.6322488427162171,,
2010-03-25,0.6659083867717729,0.6754603640029696,0.634523357457124,0.6351301670074463,2034000,50.0,50.0,0.635220718383789,,
2010-03-26,0.6521107503194421,0.6554466572205035,0.6126902557253141,0.6251232624053955,2322000,50.0,50.0,0.6418314337730407,,
2010-03-29,0.6452878570327303,0.649230518793711,0.6374043228693085,0.6419528722763062,1380000,50.0,50.0,0.6432567477226258,,
2010-03-30,0.6519598360268335,0.6610569371557056,0.6351302097830199,0.6542341113090515,1920000,50.0,50.0,0.6389509081840515,,
2010-03-31,0.6592374325814359,0.6640889262656106,0.6405883565777337,0.6440752744674683,1080000,50.0,50.0,0.6401031374931335,,
2010-04-01,0.662117419334743,0.6888028799492375,0.6354328805109282,0.646197497844696,1644000,50.0,50.0,0.6423166036605835,,
2010-04-05,0.6707597641432079,0.70350936367881,0.6278523556082971,0.7009321451187134,1500000,50.0,50.0,0.6574783802032471,,
2010-04-06,0.6875895464803492,0.7001744867513376,0.6797059567766078,0.6903186440467834,1998000,50.0,50.0,0.6671515345573426,,
2010-04-07,0.6939574942561232,0.7115458613805793,0.6748535401972752,0.6971414685249329,3414000,50.0,50.0,0.6757330060005188,,
2010-04-08,0.6845573855488786,0.6845573855488786,0.6501403187038168,0.6724281907081604,4470000,50.0,50.0,0.6814035892486572,0.6386245548725128,
2010-04-09,0.6801608334825111,0.6906225097113301,0.6646957303807367,0.6903186440467834,1254000,50.0,50.0,0.6902278184890747,0.6430972844362259,
2010-04-12,0.7007802721796609,0.7254944067516327,0.6924418605652931,0.7076030969619751,2400000,50.0,50.0,0.691562008857727,0.649177148938179,
2010-04-13,0.7115458715368059,0.7247366455057219,0.702448771082934,0.7212488055229187,2904000,50.0,50.0,0.6977480411529541,0.6568642079830169,
2010-04-14,0.765976351004646,0.8166171968729983,0.765976351004646,0.8140391111373901,6504000,50.0,50.0,0.7211275696754456,0.6668861716985702,
2010-04-15,0.8285945720265769,0.8398149345330709,0.8117648958346132,0.8210139274597168,12666000,50.0,50.0,0.7508447170257568,0.6761500716209412,
2010-04-16,0.8111592514143928,0.8111592514143928,0.7536955067516574,0.7906907200813293,4452000,50.0,50.0,0.7709191322326661,0.6846710681915283,
2010-04-19,0.7641570031524171,0.7873546267528815,0.7203389744708389,0.7640051245689392,5712000,50.0,50.0,0.7821995377540588,0.6932678401470185,
2010-04-20,0.7862930219221557,0.8066105381020167,0.7808347733060161,0.8010003566741943,2922000,50.0,50.0,0.798149847984314,0.701576542854309,
