Date,Open,High,Low,Close,Volume,WeeklyRSI,RSI,MA5,MA20,MA200
1999-03-10,43.1270672110624,43.153428499088726,42.41531243435172,43.074344635009766,5232000,50.0,50.0,,,
1999-03-11,43.390673866225505,43.64110606654698,42.44166763342835,43.28522872924805,9688600,50.0,50.0,,,
1999-03-12,43.12707699550671,43.153438289513744,41.888096177176145,42.23079299926758,8743600,50.0,50.0,,,
1999-03-15,42.54711383523293,43.496120091780874,42.09897199186307,43.443397521972656,6369000,50.0,50.0,,,
1999-03-16,43.62794042924681,43.99699853559694,43.1534371496538,43.812469482421875,4905800,50.0,50.0,43.169246673583984,,
1999-03-17,43.81247508655895,43.865197679924236,43.36433304295395,43.49613952636719,3965000,50.0,50.0,43.253605651855466,,
1999-03-18,43.4433960614108,44.36604100203543,43.43021541940188,44.33967971801758,4848400,50.0,50.0,43.46449584960938,,
1999-03-19,44.91962977020096,44.91962977020096,43.17978495515797,43.206146240234375,7160400,50.0,50.0,43.659566497802736,,
1999-03-22,43.39067156805235,43.49611669944494,42.599833082607894,42.678916931152344,5024800,50.0,50.0,43.50667037963867,,
1999-03-23,42.441680214621805,42.59984796697443,41.09725431962446,41.17633819580078,10962400,50.0,50.0,42.979444122314455,,
1999-03-24,41.54538850105215,42.59983998585043,40.91271761017318,42.57347869873047,8447000,50.0,50.0,42.79491195678711,,
1999-03-25,43.23250436725867,44.128787994384766,42.949120573387916,44.128787994384766,8133800,50.0,50.0,42.752733612060545,,
1999-03-26,43.75972674088778,44.26059108310276,43.46975264802647,43.65428161621094,8256200,50.0,50.0,42.84236068725586,,
1999-03-29,44.18151431317096,45.262327014149484,43.91790145927376,45.235965728759766,5113800,50.0,50.0,43.35377044677735,,
1999-03-30,45.18324482161115,45.55230283065581,44.73510295348548,44.91963195800781,4940600,50.0,50.0,44.10242919921875,,
1999-03-31,45.657733519635364,45.710456075662655,44.12877939484388,44.26058578491211,8256600,50.0,50.0,44.439850616455075,,
1999-04-01,45.55228540694283,45.60500795949716,44.445111803301856,45.1832275390625,8715800,50.0,50.0,44.65073852539062,,
1999-04-05,45.91476445853173,46.88354160442009,45.631380667557586,46.8176383972168,5697200,50.0,50.0,45.283409881591794,,
1999-04-06,46.76492502502459,47.423957226617375,46.36950570406891,46.909912109375,7522400,50.0,50.0,45.61819915771484,,
1999-04-07,47.344867097593585,47.450312235895574,45.420493323582264,46.42222213745117,11923600,50.0,50.0,45.91871719360351,44.04245929718017,
1999-04-08,46.34312567912357,47.01533825296751,45.394119692520356,46.79126739501953,7952400,50.0,50.0,46.424853515625,44.228305435180665,
1999-04-09,46.71219507710798,47.18669818737205,46.58038865759018,47.08125305175781,4946800,50.0,50.0,46.80445861816406,44.418106651306154,
1999-04-12,45.974084486418406,47.081258539417014,45.92136191246609,46.764923095703125,10934000,50.0,50.0,46.793915557861325,44.64481315612793,
1999-04-13,47.05488510131836,47.16033022199358,45.763182373046874,46.132240295410156,9962200,50.0,50.0,46.63838119506836,44.7792552947998,
1999-04-14,46.71220480111929,46.76492737990159,44.2935564994812,44.55057907104492,21253800,50.0,50.0,46.26405258178711,44.81616077423096,
1999-04-15,44.70874515139284,45.229380597583884,43.12706784650866,45.15688705444336,17650600,50.0,50.0,45.93717651367187,44.89919815063477,
1999-04-16,45.05143280396315,45.05143280396315,43.60156223391167,43.83881378173828,17274000,50.0,50.0,45.28868865966797,44.8741548538208,
1999-04-19,44.12880107506592,44.49785914857305,41.34109455553891,41.78264617919922,19460600,50.0,50.0,44.292233276367185,44.80297985076904,
1999-04-20,41.59810468990225,43.07433654201538,41.20268544380052,42.73163986206055,17413600,50.0,50.0,43.61211318969727,44.805615997314455,
1999-04-21,43.12705112751058,44.866895488400374,42.54710300721399,44.84053421020508,10940400,50.0,50.0,43.6701042175293,44.98882579803467,
1999-04-22,45.26233062569455,46.18497568795391,44.965766141396905,46.05316925048828,13630600,50.0,50.0,43.849360656738284,45.16281032562256,
1999-04-23,45.815916063556564,47.00217395933334,45.341412905245846,46.65947723388672,7064400,50.0,50.0,44.41349334716797,45.289344787597656,
1999-04-26,46.9757977909234,48.08297147623136,46.824220441149095,47.73368453979492,5421000,50.0,50.0,45.60370101928711,45.49331493377686,
