Date,Close,MA5,MA20,Action,CurrentSplit,BuyAmount,SellAmount,Shares,AvgPrice,Cash,StockValue,TotalAsset,Peak,Drawdown
2010-01-04,40.290775299072266,40.028662109375,38.939154052734374,1분할 매수,1,2500000.0,0.0,62048.942504652296,0.0,97500000.0,2500000.0,100000000.0,100000000.0,0.0
2010-01-05,40.290775299072266,40.06338119506836,39.04215927124024,1분할 매수,2,2500000.0,0.0,124097.88500930459,40.290775299072266,95000000.0,5000000.0,100000000.0,100000000.0,0.0
2010-01-06,40.047760009765625,40.08247451782226,39.14211158752441,2분할 매수,4,5000000.0,0.0,248948.81297083735,40.290775299072266,90000000.0,9969842.316572122,99969842.31657213,100000000.0,-0.0003015768342787027
2010-01-07,40.07380676269531,40.08247451782226,39.25506401062012,2분할 매수,6,5000000.0,0.0,373718.5916347026,40.16890010707314,85000000.0,14976326.624795713,99976326.6247957,100000000.0,-0.0002367337520429492
2010-01-08,40.40361022949219,40.22134552001953,39.365443801879884,1분할 매수,7,2500000.0,0.0,435594.2504137082,40.13715222030484,82500000.0,17599580.311923284,100099580.31192328,100099580.31192328,0.0
2010-01-11,40.238712310791016,40.210932922363284,39.45804634094238,1분할 매수,8,2500000.0,0.0,497723.47514363483,40.17500227190619,80000000.0,20027751.726631865,100027751.72663186,100099580.31192328,-0.0007175712931821319
2010-01-12,39.73529815673828,40.09983749389649,39.53284378051758,2분할 매수,10,5000000.0,0.0,623556.1788590366,40.182954991681534,75000000.0,24777190.684440244,99777190.68444024,100099580.31192328,-0.003220689102575977
2010-01-13,40.23004150390625,40.13629379272461,39.614181709289554,1분할 매수,11,2500000.0,0.0,685698.7943409833,40.09261851232748,72500000.0,27585690.955516234,100085690.95551623,100099580.31192328,-0.0001387553910192758
2010-01-14,40.264739990234375,40.17448043823242,39.70808563232422,1분할 매수,12,2500000.0,0.0,747787.8578890489,40.105072703868345,70000000.0,30109483.665756885,100109483.66575688,100109483.66575688,0.0
2010-01-15,39.79605484008789,40.05296936035156,39.77595596313476,2분할 매수,14,5000000.0,0.0,873428.4526688945,40.11832992941051,65000000.0,34759006.60130444,99759006.60130444,100109483.66575688,-0.0035009376896059504
2010-01-19,40.43833541870117,40.09289398193359,39.89933624267578,1분할 매수,15,2500000.0,0.0,935250.9776100138,40.071971428286005,62500000.0,37819992.73326192,100319992.73326191,100319992.73326191,0.0
2010-01-20,39.85680770874024,40.11719589233398,39.96269760131836,3분할 매수,18,7500000.0,0.0,1123424.6029240983,40.0961890420359,55000000.0,44776118.37401365,99776118.37401365,100319992.73326191,-0.00542139552077479
2010-01-21,39.48359298706055,39.96790618896485,39.98569946289062,3분할 매수,21,7500000.0,0.0,1313376.9206490298,40.05609266778745,47500000.0,51856839.77350521,99356839.77350521,100319992.73326191,-0.009600807710558785
2010-01-22,38.32919692993164,39.580797576904295,39.9392635345459,3분할 매수,24,7500000.0,0.0,1509050.2089182963,39.97329264325442,40000000.0,57840682.634783864,97840682.63478386,100319992.73326191,-0.024714017923328793
2010-01-25,38.45938491821289,39.313463592529295,39.88501605987549,3분할 매수,27,7500000.0,0.0,1704061.1279943392,39.76010847446133,32500000.0,65537142.845698334,98037142.84569833,100319992.73326191,-0.022755682345725378
2010-01-26,38.49410629272461,38.924617767333984,39.814276695251465,3분할 매수,30,7500000.0,0.0,1898896.1487886135,39.61125507243202,25000000.0,73096310.1903143,98096310.1903143,100319992.73326191,-0.02216589617246194
2010-01-27,38.797882080078125,38.712832641601565,39.748311805725095,3분할 매수,33,7500000.0,0.0,2092205.6697702005,39.49663073878247,17500000.0,81173148.86301512,98673148.86301512,100319992.73326191,-0.01641590898661193
2010-01-28,37.79974365234375,38.3760627746582,39.64068431854248,3분할 매수,36,7500000.0,0.0,2290619.713764252,39.43206979697243,10000000.0,86584837.98529375,96584837.98529375,100319992.73326191,-0.03723240648451269
2010-01-29,37.14008712768555,38.138240814208984,39.49399833679199,3분할 매수,39,7500000.0,0.0,2492557.8506947183,39.29067730413443,2500000.0,92573815.74559847,95073815.74559847,100319992.73326191,-0.05229443149594682
2010-02-01,37.548038482666016,37.95597152709961,39.3859375,1분할 매수,40,2500000.0,0.0,2559139.2248763316,39.11644416711335,0.0,96090658.09815657,96090658.09815657,100319992.73326191,-0.04215844239892046
2010-02-02,37.88653564453125,37.83445739746094,39.26572551727295,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,96956919.46259521,96956919.46259521,100319992.73326191,-0.03352346007050347
2010-02-03,38.09485626220703,37.693852233886716,39.15592956542969,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,97490040.92663977,97490040.92663977,100319992.73326191,-0.02820925051446753
2010-02-04,36.99253082275391,37.53240966796876,39.0031681060791,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,94669036.65595625,94669036.65595625,100319992.73326191,-0.056329311070933114
2010-02-05,37.30499267578125,37.56539077758789,38.8647274017334,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,95468670.04031606,95468670.04031606,100319992.73326191,-0.04835848329699248
2010-02-08,37.03594207763672,37.46297149658203,38.696343994140626,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,94780132.10112795,94780132.10112795,100319992.73326191,-0.05522190025335971
2010-02-09,37.41784286499024,37.369232940673825,38.55530052185058,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,95757469.3860555,95757469.3860555,100319992.73326191,-0.04547970173141442
2010-02-10,37.33971405029297,37.218204498291016,38.43552131652832,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,95557526.87177062,95557526.87177062,100319992.73326191,-0.04747274926697895
2010-02-11,37.90388488769531,37.400475311279294,38.319213485717775,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,97001318.59129828,97001318.59129828,100319992.73326191,-0.03308088499156457
2010-02-12,37.98201370239258,37.53587951660156,38.205077171325684,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,97201261.10558315,97201261.10558315,100319992.73326191,-0.031087837456000193
2010-02-16,38.468074798583984,37.822306060791014,38.13867816925049,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,98445159.12253296,98445159.12253296,100319992.73326191,-0.018688534156037002
2010-02-17,38.68506622314453,38.075750732421874,38.05101470947265,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,99000470.38858765,99000470.38858765,100319992.73326191,-0.013153134372554246
2010-02-18,38.92808532714844,38.39342498779297,38.004578590393066,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,99622390.11003835,99622390.11003835,100319992.73326191,-0.006953774658640523
2010-02-19,38.910736083984375,38.59479522705078,37.975935745239255,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,99577990.98133528,99577990.98133528,100319992.73326191,-0.007396349737579417
2010-02-22,38.8326301574707,38.76491851806641,38.001107406616214,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,99378107.04109883,99378107.04109883,100319992.73326191,-0.009388813401008052
2010-02-23,38.32919692993164,38.737142944335936,37.99459800720215,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,98089751.32139753,98089751.32139753,100319992.73326191,-0.022231275652045877
2010-02-24,38.71976852416992,38.744083404541016,38.00588111877441,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,99089278.4083352,99089278.4083352,100319992.73326191,-0.012267886902653909
2010-02-25,38.71108627319336,38.70068359375,38.00154132843018,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,99067059.31930086,99067059.31930086,100319992.73326191,-0.01248936906616853
2010-02-26,38.8499641418457,38.68852920532227,38.05405235290527,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,99422467.1204363,99422467.1204363,100319992.73326191,-0.008946627570159654
2010-03-01,39.41415786743164,38.80483474731445,38.167755889892575,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,100866317.41401237,100866317.41401237,100866317.41401237,0.0
2010-03-02,39.5356559753418,39.04612655639649,38.26713676452637,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,101177247.98771352,101177247.98771352,101177247.98771352,0.0
2010-03-03,39.57904815673828,39.21798248291016,38.35176239013672,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,101288294.62117821,101288294.62117821,101288294.62117821,0.0
2010-03-04,39.70925521850586,39.417616271972655,38.43248233795166,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,101621512.62030351,101621512.62030351,101621512.62030351,0.0
2010-03-05,40.30814743041992,39.7092529296875,38.59826316833496,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,103154161.17128573,103154161.17128573,103154161.17128573,0.0
2010-03-08,40.386268615722656,39.9036750793457,38.75232696533203,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,103354084.1608878,103354084.1608878,103354084.1608878,0.0
2010-03-09,40.6119384765625,40.11893157958984,38.93112678527832,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,103931604.75363542,103931604.75363542,103931604.75363542,0.0
2010-03-10,40.9417610168457,40.39147415161133,39.107322692871094,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,104775666.55372253,104775666.55372253,104775666.55372253,0.0
2010-03-11,41.09799957275391,40.66922302246094,39.29523696899414,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,105175502.77058525,105175502.77058525,105175502.77058525,0.0
2010-03-12,41.10665893554688,40.82892532348633,39.45537567138672,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,105197663.28557117,105197663.28557117,105197663.28557117,0.0
2010-03-15,41.00250625610352,40.95217285156251,39.60640029907226,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,104931122.0782317,104931122.0782317,105197663.28557117,-0.0025337179459576854
2010-03-16,41.26289367675781,41.08236389160157,39.746141242980954,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,105597489.74009247,105597489.74009247,105597489.74009247,0.0
2010-03-17,41.37574005126953,41.16915969848633,39.88067493438721,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,105886279.3234905,105886279.3234905,105886279.3234905,0.0
2010-03-18,41.51460647583008,41.25248107910157,40.010000991821286,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,106241657.83760172,106241657.83760172,106241657.83760172,0.0
2010-03-19,41.26351165771485,41.283851623535156,40.12763977050781,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,105599071.23939985,105599071.23939985,106241657.83760172,-0.00604834874832349
2010-03-22,41.63711166381836,41.410772705078124,40.2678638458252,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,106555165.66943339,106555165.66943339,106555165.66943339,0.0
2010-03-23,41.92386245727539,41.54296646118164,40.447597122192384,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,107289000.87273368,107289000.87273368,107289000.87273368,0.0
2010-03-24,41.7240104675293,41.6126205444336,40.59780921936035,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,106777551.80660488,106777551.80660488,107289000.87273368,-0.004767022359873466
2010-03-25,41.663185119628906,41.64233627319336,40.74541416168213,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,106621891.27292623,106621891.27292623,107289000.87273368,-0.006217875032677228
2010-03-26,41.706634521484375,41.730960845947266,40.888247680664065,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,106733084.34151198,106733084.34151198,107289000.87273368,-0.005181486701336062
2010-03-29,41.906497955322266,41.784838104248045,41.012864685058595,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,107244562.694665,107244562.694665,107289000.87273368,-0.0004141913682409547
2010-03-30,42.04551315307617,41.8091682434082,41.13835754394531,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,107600321.94009095,107600321.94009095,107600321.94009095,0.0
2010-03-31,41.84567642211914,41.83350143432617,41.251688957214355,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,107088911.92332776,107088911.92332776,107600321.94009095,-0.004752866976066625
2010-04-01,41.84567642211914,41.869999694824216,41.35851001739502,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,107088911.92332776,107088911.92332776,107600321.94009095,-0.004752866976066625
2010-04-05,42.23666000366211,41.97600479125977,41.45493564605713,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,108089493.34313701,108089493.34313701,108089493.34313701,0.0
2010-04-06,42.35831069946289,42.06636734008789,41.55353775024414,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,108400814.41049428,108400814.41049428,108400814.41049428,0.0
2010-04-07,42.25404739379883,42.10807418823242,41.63564319610596,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,108133990.09525411,108133990.09525411,108400814.41049428,-0.0024614604298982394
2010-04-08,42.34961700439453,42.2088623046875,41.7060359954834,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,108378566.03443573,108378566.03443573,108400814.41049428,-0.00020524177958938677
2010-04-09,42.60160446166992,42.36004791259766,41.7812162399292,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,109023437.02052604,109023437.02052604,109023437.02052604,0.0
2010-04-12,42.63634490966797,42.43998489379883,41.85770053863526,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,109112342.66368762,109112342.66368762,109112342.66368762,0.0
2010-04-13,42.85356521606445,42.53903579711914,41.9502534866333,관망,40,0.0,0.0,2559139.2248763316,39.07563880383742,0.0,109668239.67022651,109668239.67022651,109668239.67022651,0.0
2010-04-14,43.36621856689453,42.761470031738284,42.055419731140134,목표수익 전량매도,0,0.0,110980190.96910006,0.0,39.07563880383742,110980190.96910006,0.0,110980190.96910006,110980190.96910006,0.0
2010-04-15,43.55735397338867,43.00301742553711,42.1645004272461,1분할 매수,1,2500000.0,0.0,57395.58930800464,0.0,108480190.96910006,2500000.0,110980190.96910006,110980190.96910006,0.0
2010-04-16,43.03602981567383,43.08990249633789,42.24057159423828,2분할 매수,3,5000000.0,0.0,173577.3100990565,43.55735397338867,103480190.96910006,7470078.292747458,110950269.26184751,110980190.96910006,-0.000269613045276505
2010-04-19,43.00996398925781,43.16462631225586,42.32789421081543,2분할 매수,5,5000000.0,0.0,289829.441843431,43.208412411276136,98480190.96910006,12465553.856712658,110945744.82581271,110980190.96910006,-0.00031038100571422264
2010-04-20,43.2271842956543,43.239350128173825,42.40739784240723,2분할 매수,7,5000000.0,0.0,405497.39666098915,43.12881369296028,93480190.96910006,17528510.69687261,111008701.66597266,111008701.66597266,0.0
2010-04-21,43.470489501953125,43.26020431518555,42.48472919464111,1분할 매수,8,2500000.0,0.0,463007.67613202374,43.15687386429918,90980190.96910006,20127170.32462085,111107361.2937209,111107361.2937209,0.0
2010-04-22,43.71376800537109,43.29148712158203,42.5842170715332,1분할 매수,9,2500000.0,0.0,520197.8959202796,43.195828127689886,88480190.96910006,22739810.139141276,111220001.10824133,111220001.10824133,0.0
2010-04-23,43.896240234375,43.46352920532227,42.695869827270506,1분할 매수,10,2500000.0,0.0,577150.3817516803,43.25277010241527,85980190.96910006,25334731.808732998,111314922.77783306,111314922.77783306,0.0
2010-04-26,43.80065536499024,43.62166748046875,42.8005708694458,1분할 매수,11,2500000.0,0.0,634227.1533015015,43.3162669391706,83480190.96910006,27779564.9648779,111259755.93397796,111314922.77783306,-0.0004955925268456787
2010-04-27,42.87095260620117,43.550421142578124,42.84879360198975,2분할 매수,13,5000000.0,0.0,750856.2388720602,43.35985909283032,78480190.96910006,32189922.230754558,110670113.19985461,111314922.77783306,-0.005792660695326401
