Date,Open,High,Low,Close,Volume,WeeklyRSI,RSI,MA5,MA20,MA200
2001-07-13,19.798690677697127,20.151945569760805,19.32768415494556,19.894535064697266,603300,50.0,50.0,,,
2001-07-16,19.538545043781234,19.593313947297293,18.741668701171875,18.741668701171875,180000,50.0,50.0,,,
2001-07-17,18.60748299028645,19.511157989501953,18.593791158516023,19.511157989501953,287100,50.0,50.0,,,
2001-07-18,18.922405407859383,19.06206432684789,18.703332901000977,18.703332901000977,301800,50.0,50.0,,,
2001-07-19,19.82607959817163,19.908232175518837,19.49747085571289,19.49747085571289,405000,50.0,50.0,19.269633102416993,,
2001-07-20,19.100399634629,19.415316513390277,19.100399634629,19.40162467956543,360000,50.0,50.0,19.171051025390625,,
2001-07-23,19.5111606966237,19.5111606966237,18.8128662109375,18.8128662109375,195300,50.0,50.0,19.18529052734375,,
2001-07-24,18.703324672158516,18.703324672158516,18.292563510787744,18.306255340576172,150300,50.0,50.0,18.944309997558594,,
2001-07-25,18.237808873125086,18.58010955663984,17.977659225463867,17.977659225463867,179100,50.0,50.0,18.799175262451172,,
2001-07-26,18.77178942837252,19.839768051030905,18.70332869776577,19.648080825805664,281700,50.0,50.0,18.829297256469726,,
2001-07-27,19.85346373989622,20.318992374296354,19.85346373989622,20.102657318115234,121500,50.0,50.0,18.969503784179686,,
2001-07-30,20.20671663292527,20.41209727635114,20.06979672628468,20.236839294433594,7800,50.0,50.0,19.254298400878906,,
2001-07-31,20.64760058128533,20.64760058128533,20.236839294433594,20.236839294433594,152100,50.0,50.0,19.64041519165039,,
2001-08-01,21.01729273739396,21.551283865530294,21.01729273739396,21.291135787963867,28500,50.0,50.0,20.30311050415039,,
2001-08-02,21.825120947140668,21.893580129044686,21.674507613091365,21.701892852783203,64800,50.0,50.0,20.7138729095459,,
2001-08-03,21.70189979991762,21.70189979991762,21.29113830928108,21.428056716918945,9600,50.0,50.0,20.97895278930664,,
2001-08-06,20.96251753394769,21.126822676013248,20.921442031896284,21.04467010498047,21900,50.0,50.0,21.140518951416016,,
2001-08-07,20.702368423949846,20.71879768371582,20.538063290851085,20.71879768371582,18600,50.0,50.0,21.23691062927246,,
2001-08-08,20.631169754655755,20.962517464331924,20.483295440673828,20.483295440673828,18900,50.0,50.0,21.07534255981445,,
2001-08-09,19.716542037491948,19.92192268371582,19.716542037491948,19.92192268371582,3000,50.0,50.0,20.719348526000978,19.883037948608397,
2001-08-10,19.88085593216077,19.990390653635213,19.88085593216077,19.9630069732666,12600,50.0,50.0,20.426338577270506,19.886461544036866,
2001-08-13,20.401139810484057,20.48329236892411,20.29160515513695,20.442216873168945,24300,50.0,50.0,20.305847930908204,19.97148895263672,
2001-08-14,20.592840491098155,20.592840491098155,20.52437973022461,20.52437973022461,4200,50.0,50.0,20.26696434020996,20.02215003967285,
2001-08-15,20.195765209402964,20.195765209402964,19.722021102905273,19.722021102905273,6300,50.0,50.0,20.11470947265625,20.073084449768068,
2001-08-16,19.168862292057344,19.470088958740234,18.977175016696766,19.470088958740234,13500,50.0,50.0,20.024342727661132,20.071715354919434,
2001-08-17,19.168850662278164,19.168850662278164,18.78547477722168,18.78547477722168,1500,50.0,50.0,19.78883628845215,20.040907859802246,
2001-08-20,18.895023189756323,19.018251288477373,18.771795091035276,18.990867614746094,32700,50.0,50.0,19.49856643676758,20.049807929992674,
2001-08-21,18.977174623160003,18.977174623160003,18.51164436340332,18.51164436340332,4200,50.0,50.0,19.09601936340332,20.060077381134032,
2001-08-22,18.6732003229296,19.086700439453125,18.484250581932884,19.086700439453125,8400,50.0,50.0,18.96895523071289,20.115529441833495,
2001-08-23,19.19899080105181,19.439970621131348,19.14969829901943,19.182559967041016,3000,50.0,50.0,18.911449432373047,20.092253398895263,
2001-08-24,19.51664185032337,20.11361565809825,19.442706243958106,20.00955581665039,1200,50.0,50.0,19.156265640258788,20.08759832382202,
2001-08-27,20.127310429267585,20.644869150856458,20.127310429267585,20.45591926574707,12300,50.0,50.0,19.449275970458984,20.098552322387697,
2001-08-28,20.086226525448836,20.168377525069257,19.9766902923584,19.9766902923584,3000,50.0,50.0,19.74228515625,20.085544872283936,
2001-08-29,20.072545852232846,20.072545852232846,19.27840805053711,19.27840805053711,900,50.0,50.0,19.780626678466795,19.984908485412596,
2001-08-30,18.525336163679572,18.758100509643555,18.48426065566129,18.758100509643555,3600,50.0,50.0,19.695734786987305,19.837718868255614,
2001-08-31,18.621186146487563,19.026469593435763,18.621186146487563,18.851211547851562,6000,50.0,50.0,19.464065933227538,19.708876609802246,
2001-09-04,18.78548622815831,19.023728568150936,18.347339630126953,18.347339630126953,3300,50.0,50.0,19.042350006103515,19.57401008605957,
