Date,Close,WeeklyRSI,WeeklyMode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
1999-07-28,49.02539825439453,61.42477894523502,상승,매수,200000,0.0,137426.69889392273,93400000.0,6737398.644061322,100137398.64406133
1999-07-29,47.97754287719727,61.42477894523502,상승,매수,200000,0.0,141595.31587607868,93200000.0,6793395.338654856,99993395.33865486
1999-07-30,47.74027633666992,53.110775532593046,상승,매수,200000,0.0,145784.65065473763,93000000.0,6959799.5079020625,99959799.50790206
1999-08-02,47.608489990234375,53.110775532593046,상승,매수,200000,0.0,149985.58204409748,92800000.0,7140587.081425891,99940587.08142589
1999-08-03,47.298736572265625,53.110775532593046,상승,매수,200000,0.0,154214.02479952772,92600000.0,7294128.5347417,99894128.5347417
1999-08-04,46.44200134277344,53.110775532593046,상승,매수,200000,0.0,158520.47142580172,92400000.0,7362007.946814162,99762007.94681416
1999-08-05,47.180118560791016,53.110775532593046,상승,매수,200000,0.0,162759.54513101725,92200000.0,7679014.63618181,99879014.63618182
1999-08-06,46.672664642333984,53.970669222990125,상승,매수,200000,0.0,167044.70865302006,92000000.0,7796421.6672387915,99796421.66723879
1999-08-09,46.07294464111328,53.970669222990125,상승,매수,200000,0.0,171385.6510772108,91800000.0,7896241.614361489,99696241.6143615
1999-08-10,45.657752990722656,53.970669222990125,상승,매수,200000,0.0,175766.0681345425,91600000.0,8025083.72303747,99625083.72303747
1999-08-11,47.160343170166016,53.970669222990125,상승,매수,200000,0.0,180006.91937852837,91400000.0,8489188.090895806,99889188.0908958
1999-08-12,46.60675430297852,53.970669222990125,상승,매수,200000,0.0,184298.14289303985,91200000.0,8589538.264311137,99789538.26431113
1999-08-13,48.636566162109375,60.72960755878647,상승,매수,200000,0.0,188410.27530249872,91000000.0,9163628.820371222,100163628.82037123
1999-08-16,49.02539825439453,60.72960755878647,상승,매수,200000,0.0,192489.793411912,90800000.0,9436888.781925114,100236888.78192511
1999-08-17,49.26924896240234,60.72960755878647,상승,매수,200000,0.0,196549.12056245617,90600000.0,9683827.554332886,100283827.55433288
1999-08-18,48.71563720703125,60.72960755878647,상승,매수,200000,0.0,200654.5785112056,90400000.0,9775015.65068166,100175015.65068166
1999-08-19,48.13571548461914,60.72960755878647,상승,매수,200000,0.0,204809.497535187,90200000.0,9858651.701901566,100058651.70190157
1999-08-20,48.900177001953125,60.50356461701188,상승,매수,200000,0.0,208899.462280959,90000000.0,10215220.681151725,100215220.68115172
1999-08-23,50.45549392700195,60.50356461701188,상승,매수,200000,0.0,212863.3517295363,89800000.0,10740125.5504709,100540125.5504709
1999-08-24,50.7982063293457,60.50356461701188,상승,매수,200000,0.0,216800.4986182142,89600000.0,11013076.461113073,100613076.46111307
1999-08-25,51.87901306152344,60.50356461701188,상승,매수,200000,0.0,220655.62207175445,89400000.0,11447395.899559129,100847395.89955913
1999-08-26,51.01568603515625,60.50356461701188,상승,매수,200000,0.0,224575.9849158839,89200000.0,11456897.937504718,100656897.93750472
1999-08-27,50.50822067260742,65.15556439775483,상승,매수,200000,0.0,228535.73636498745,89000000.0,11542933.40389962,100542933.40389962
1999-08-30,49.79646682739258,65.15556439775483,상승,매수,200000,0.0,232552.08557091106,88800000.0,11580272.214772834,100380272.21477284
1999-08-31,50.350059509277344,65.15556439775483,상승,매수,200000,0.0,236524.2755136687,88600000.0,11909011.347501928,100509011.34750193
1999-09-01,50.712528228759766,65.15556439775483,상승,매수,200000,0.0,240468.07415643832,88400000.0,12194743.998773875,100594743.99877387
1999-09-02,50.53458404541016,65.15556439775483,상승,매수,200000,0.0,244425.75984393267,88200000.0,12351954.103696456,100551954.10369645
1999-09-03,52.8543701171875,71.22350442544383,과열,전량매도,0,12918969.576966003,0.0,101118969.576966,0.0,101118969.576966
1999-09-07,52.617130279541016,71.22350442544383,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-08,51.90536880493164,71.22350442544383,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-09,52.64350128173828,71.22350442544383,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-10,53.249794006347656,71.15147254078326,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-13,52.61051559448242,71.15147254078326,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-14,52.900508880615234,71.15147254078326,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-15,51.87901306152344,71.15147254078326,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-16,51.852657318115234,71.15147254078326,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-17,53.407958984375,73.65383541487827,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-20,53.53318786621094,73.65383541487827,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-21,52.248077392578125,73.65383541487827,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-22,52.80164337158203,73.65383541487827,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-23,50.61367416381836,73.65383541487827,과열,관망,0,0.0,0.0,101118969.576966,0.0,101118969.576966
1999-09-24,50.6795768737793,60.30833945966239,상승,매수,200000,0.0,3946.3628612786706,100918969.576966,200000.0,101118969.576966
1999-09-27,51.03545379638672,60.30833945966239,상승,매수,200000,0.0,7865.207215988021,100718969.576966,401404.41947056405,101120373.99643657
1999-09-28,51.2726936340332,60.30833945966239,상승,매수,200000,0.0,11765.918995001057,100518969.576966,603270.3599535411,101122239.93691954
1999-09-29,50.24459838867188,60.30833945966239,상승,매수,200000,0.0,15746.446383296232,100318969.576966,791173.8745774741,101110143.45154348
1999-09-30,50.77184295654297,60.30833945966239,상승,매수,200000,0.0,19685.637642734768,100118969.576966,999476.1028963403,101118445.67986235
1999-10-01,50.7916145324707,61.46613590996412,상승,매수,200000,0.0,23623.295499075237,99918969.576966,1199865.3189756796,101118834.89594167
